查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
小学步行圈建成环境与通学方式相关性研究——以西安城区为例,查看该刊,2025.05.26,1.西安建筑科技大学建筑学院，绿色建筑全国重点实验室;2.陕西农业发展集团有限公司;3.西安建筑科技大学建筑学院,王侠;杨净;陈晓键,小学步行圈建成环境与通学方式相关性研究——以西安城区为例 网络首发,城市规划 ,,TU984.14,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kevaEEoxiDN9iGx7dfeZUk59uivKTkczOcT_4ilooVVaptHhk75PE9S8neJC0NJTCrTcOzN7ZmCHiDOyPJ1Bkje85R_A5RG4i254aJQ-oLGXEhmsvmDQ1ozebZcFqUcxgM4eXjQZhUEu5-g028OfP_UqYQX-oFwTbnEYQJ9f7F3Kg==&uniplatform=NZKPT&language=CHS
创新情境中知识内容对结构洞填充的影响——中间人角色视角,查看该刊,2025.05.16,1.西安建筑科技大学管理学院;2.四川大学商学院;3.西安循数信息科技有限公司,孙笑明;马少华;邓娅娟;王雅兰;熊旺,创新情境中知识内容对结构洞填充的影响——中间人角色视角 网络首发,管理工程学报 ,,F273.1,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kffajXwVVWH25b1KHcZdh_kZHMAGUZaUlP9yReXwU2ntlegzvQw0Mou2J9xnDpGVRHVxfgPpWInbQApEpiZq43N-WiMdqzZG7jLzWD5W7LWu4uKchaNsFnGLdN9S-guvFmaljjyM5g-w4Mwo0u6zHM5fABEcASYNj27KQnRxuMoPg==&uniplatform=NZKPT&language=CHS
AIGC背景下虚假信息治理挑战、机会与策略研究,2025,2024.11.11,西安建筑科技大学管理学院,张新生;王润周;马玉龙,AIGC背景下虚假信息治理挑战、机会与策略研究,情报科学 ,No.05,G203,[78-88+96],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keuDXU3d5hvtNm_ZFaTLE_gvcBjOROaPQBsuVJySM6hsV5fW2icJjgt7TalFtKhVWw9ikLtMoqEORQIobVos7a2LyqLHzbg0_vTmJSiOB1zofc4XPDpHl5Vq_FbSC4VG1qEn5pzlY_WgEsE4sfYNtB4JICI67OsI7XXmJXoou6nwA==&uniplatform=NZKPT&language=CHS
“行政末梢”繁复职能运行问题及调适路径——基于陕西省B市典型村庄一把手“一肩挑”的个案,查看该刊,2025.04.03,西安建筑科技大学公共管理学院,靳永翥;王宇娟,“行政末梢”繁复职能运行问题及调适路径——基于陕西省B市典型村庄一把手“一肩挑”的个案 网络首发,贵州财经大学学报 ,,D422.6;D630.3,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kef_CH1JhoioQtnlddhrX_Ygai62bZ5724SyHX2dg4m53TMV_nnlFAty_ppXSTjcnplHXQiVmbh8yT7bLsFKb-LHOFePKJxTAg4wlxXIA-5kxmXJncyHw81QDKrVQyNHCuppWmhsGHWgUpar24Lwuw4BaMztvuIF7uVGOI-Cw-X4Q==&uniplatform=NZKPT&language=CHS
通俗转向、传统文化认同与抗战时期老舍的博弈策略,2025,2024.05.09,1.海南大学人文学院;2.海南大学国家民委中华民族共同体研究基地,陈红旗,通俗转向、传统文化认同与抗战时期老舍的博弈策略,海南大学学报(人文社会科学版) ,No.05,K265;I207.42;G122,[187-194],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcpYftWNVo7QzIotkcs4-993S7fRhVc3Q90ty-E29sGkLIwucLv_YENLEIEzQHeQQgkd093S-99t9ewW0bfPKyDDrR2J62mu26rXrn9ZT9jfOD2GgETI5NJfnTE0N0gjHPr3dvyYxmcdr5Kvzr5dF0Q5bTU1cHTXZHL7iKV8qODDw==&uniplatform=NZKPT&language=CHS
《早餐中国》系列的艺术呈现与创新,2021,2021.05.25,1.中国传媒大学移动互联与社会化媒体研究中心;2.中国传媒大学媒介融合与传播国家重点实验室;3.中国传媒大学互联网信息研究院,韩霄;张承祖,《早餐中国》系列的艺术呈现与创新,中国电视 ,No.05,J952,[89-91],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keOFxij7NuqQ0ljmZo_emMiOqNF10ZC5hs5vsrV5GQLwX6pthUUpIATuqTXVWy9nCG52LvrUQQVTr6k5tgiOfixnrYSyLyRfubD2XPCivj3odGLMQZZaxrgNn_JqHucIGfQkDMi9A7jg6zJ6_1VvYh5Wu47EmbLRAGt8VvndSgQLQ==&uniplatform=NZKPT&language=CHS
苏轼“坡仙”形象的历史记忆与多元建构,2025,2024.08.27,海南大学人文学院,管仲乐,苏轼“坡仙”形象的历史记忆与多元建构,海南大学学报(人文社会科学版) ,No.04,I206.2,[25-33],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcrG8eS8AjAY-6alDhn3-mgbBBLZ1x6Dl9mTKGsfL71wxobxUIJJSU__nR2GHPQvNAkJX5JKOSx3n-qZF6btu7QDBtAPpQ77NpWTG_plSTpuWtAu33HdERoq1EuAwBpsUYQ4jUO_vGR--_Q-rxz0-BKL5mw1I1qrErC1lz1IghrMA==&uniplatform=NZKPT&language=CHS
养老金统筹账户与个人账户最优组合策略研究,2020,2019.10.14,山东财经大学保险学院,金博轶;闫庆悦;于文广,养老金统筹账户与个人账户最优组合策略研究,中国管理科学 ,No.02,F842.67,[48-57],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kep5LP6JCmNkShvIFZzZFwsxpYve0RchF5nhmekkO93w3lVHQ1H6nRndLdGdoWfEgIZWEAOsYuF0JCQVn4xxIlMr_-gsfHc8D1pYuJu3D7lgu68NVbyhQ_7XtbGZXsByKMZjHV-YoXGm3yUjzVjxhX1iOLohkjRsAs13an-vV0BMQ==&uniplatform=NZKPT&language=CHS
排污权交易价格不确定下的企业生产决策优化与排污策略研究,查看该刊,2023.09.18,1.中国石油大学(华东)经济管理学院;2.大连理工大学经济管理学院,孙金凤;盛鸿禧;胡祥培,排污权交易价格不确定下的企业生产决策优化与排污策略研究 网络首发,中国管理科学 ,,X322;F273,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfE2JjLVz1qSPnP9b7EVgWCPBgQN0FrN06-gtZZXS1IWBq07xIjZLL0R75eXhE1fCsu4aOafAETnJqMR8gT-bdZNCaG-MGqXwScc5cuUYH-uwqfHO9YrqP9xRtonbCRRAvm8PB3KYVTgqGG7tqZort5xe-v95jfRIovMZMJBp3rYw==&uniplatform=NZKPT&language=CHS
印染图案中情感渗入的视觉传达方法研究,2023,2023.10.17,海南大学美术与设计学院,袁琳;程怡杰,印染图案中情感渗入的视觉传达方法研究,棉纺织技术 ,No.10,TS190.5,[123],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcoGEsGpqKa75dFSF-Zj1KEUMSxIkrw77-9cB0Ij0u7A4Su-86aBX_qaskyU4T0ugbaTARFU-AQonj7C10-WYE90mZc6d8g0x4_QdRfCj_UGZ6YDFzRoBLfxjJdw8XtojtR9HqDIVCek8z30THairAhfSARFAbhm5wgT3Jiyo56ew==&uniplatform=NZKPT&language=CHS
修订本《辽史·地理志》点校献疑,2025,2025.07.23,中南民族大学民族学与社会学学院,范英杰,修订本《辽史·地理志》点校献疑,历史地理研究 ,No.02,K246.1;K928.6;G256.3,[150-156+162],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdorYLkevJVL4KSK5fP0XfKjFn4FXjq8qpaVgjfTpBktm0E6jAKGhu5cFe-70AZSFAe6p4QMXgtiIxt5M9qa5fpZhX7aAoWbHjQe5BSke6lktdwYwNmcyCVP5hxhJCDX51RJNZLLUXJqCcgg6bt8EVcGGNZ1VP0xRGR4XEkkj64QA==&uniplatform=NZKPT&language=CHS
大模型媒介：ChatGPT引发的智能传播革命及其社会影响,2025,2023.10.08,海南大学国际传播与艺术学院,焦勇勤,大模型媒介：ChatGPT引发的智能传播革命及其社会影响,海南大学学报(人文社会科学版) ,No.01,G206;TP18,[68-75],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdU1Lb39yTCK6HKzwQ4KX9jDvHGxKwOlJBaFXYE0t8oThIXD7v7FWjDnqcxM24SPKKDR3mebxXJFJEq2EC7FId5MFPVPvzLta3o5g_dD7WD3uU5kGeKsf7V90quewRlSAYZbvvexLwrk8ThYGgoAZflJlGVO6lfCGiKSDKBxkIk3w==&uniplatform=NZKPT&language=CHS
长江中游城市群雾霾污染的空间关联测度与分析,2021,2021.01.20,1.山东财经大学经济学院;2.中国人民大学应用经济学院,陈明华;王山;岳海珺;张晓萌,长江中游城市群雾霾污染的空间关联测度与分析,华东经济管理 ,No.02,X513,[20-30],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf--vJ23k7-2GBc3Wyz6g-2JDDdt7AV6OGWvfwhgaoTjYJx8WepeTefmH3nhsnXY_5WkvC3oillEtfWnhuakMsAkHV35qv0IuGPST5KcEthPgrs_49ZUe4s-cYBViGX6dua2uEUDYTWiNDHUxeyFrM_QAM3B5e7GCF9yhNBcZYQTw==&uniplatform=NZKPT&language=CHS
新时代青年文化中感性意识形态的存在与引导,2020,2020.09.28,1.嘉兴学院马克思主义学院;2.浙江大学马克思主义学院,凡欣;代玉启,新时代青年文化中感性意识形态的存在与引导,思想教育研究 ,No.08,G122,[119-123],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcpL5zAH1l_8nljk6u6QXx2tVVdZ0Jpl-D_ByGsn4H0RuMkrOtfRyEb8tVzVMlicxjvoTrQGTaWictRTl6pB_qJUQ8oGJJL6nr1a8RN4axt-BnZpl8ykt6Vca8fUPeStlrnYq1ZQUbtPVUBa5Iqx8DYTaaiba9BcE-uugpIhkAJAw==&uniplatform=NZKPT&language=CHS
数字经济对经济高质量发展地区差距的影响研究,未知,未披露,,陈俊霖,数字经济对东北地区经济高质量发展的影响研究,未知,未知,F49;F127,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfNCh4HtMSumS9QbwNQVDwfkcf4IKhOY9KfCUe6DfwAMcLM0va-jBNM2qqavJRGtjT_d48p13csNWihFauevPcHbTjs-D3-qos-NnZzskDli5_nTZrEqqU74czZX60k54MQ1y5F84wZSBoePSXVgh9tMfgiyPdh6G_Q6kwh15hQVg==&uniplatform=NZKPT&language=CHS
中国式现代化进程中的高质量发展： 历程、成就与展望,2023,2023.11.10,山东财经大学经济学院,陈景华;刘展豪;毛开元,中国式现代化进程中的高质量发展:历程、成就与展望,华东经济管理 ,No.11,F124,[1-16],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdbQf3L1qWTp3MyqAPbClFVUdxCe0GjQlrMno7g-89JcJvFujlF38Bzy22Mn2B1hYosYgs5nTBi5OIyc3Ki1KTQ752I3ceKnZ30Ujn8iNnSfteIdAHk8WSHxWt-GdfkHrTH2NDDHG2WCSQ4BxB8CjEkqVPBqsI_c2JyPz2MXmr89w==&uniplatform=NZKPT&language=CHS
汉语常用多义词在中介语语料库中的 义项分布及偏误考察,2007,2009.09.07,北京语言大学对外汉语研究中心,李慧;李华;付娜;何国锦,汉语常用多义词在中介语语料库中的义项分布及偏误考察,世界汉语教学 ,No.01,H195,[99-109+4],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf2WOKrz-bQMtSwoPTKY4DtHnJfX11L767FtQhOL2GPGhkmEjyEOgBz68ub6DvjbfwY0o1QASocrvINdl1dJPLXmE3NUAHpQnwAwf4Ux10gdf-Hbe7S-YixdxJ6i-qjh_PPrz-LO153BrTpc3Fp8BjCNlmbNHbpHHor6vaNhZhodQ==&uniplatform=NZKPT&language=CHS
数字化转型中信息安全协同治理对企业竞争优势的影响,2024,2025.02.28,1.重庆工商大学管理科学与工程学院;2.中国金融认证中心法律与合规部;3.山东财经大学管理科学与工程学院;4.南开大学商学院,甄杰;谢宗晓;董坤祥;林润辉,数字化转型中信息安全协同治理对企业竞争优势的影响,管理科学 ,No.04,TP309;F279.2,[39-52],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdwuRuSX09laWTcc0HPU6TWBxxULZWLY9860m-RagJR36xYYF-qVhuL7Gu-ywOqxuhZ8CF2ri9FDiV-D27rXrWBpTgHpenl63lJZEbH6lY_MtuNoxeLZQZx-RMBB1Vilv5IK2KIhJvALc-tlTT1R8GwSnHYyK-ud26puoVnhlHbRQ==&uniplatform=NZKPT&language=CHS
技术专利许可下新能源汽车供应链的管理策略研究——是否引入职业经理人,2025,2024.05.18,1.华南师范大学国际商学院;2.山东财经大学管理科学与工程学院,王玉燕;张晓真,技术专利许可下新能源汽车供应链的管理策略研究——是否引入职业经理人 增强出版,系统工程理论与实践 ,No.07,F407.471;F274;F273.1;F272.91,[2340-2357],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke3Hook4lYNb9nuFv3boHUFGupEmgv3wm8cDgstqhwuLyj6Ykj1nIF9X5ZRSj5m-00EMbhkBRnxf89d45p3M7raUI_e_Fv9V6AnXiuKZZzG4cVUb0KX0nmyXadepUYm7A_kvAN8R1JV6JI5Z9d6ICfw31MZ7-E1lOGuYtRWZAX8lw==&uniplatform=NZKPT&language=CHS
中国现代服务业高质量发展的空间分异及趋势演进,2021,2021.10.22,山东财经大学经济学院,陈景华;徐金,中国现代服务业高质量发展的空间分异及趋势演进,华东经济管理 ,No.11,F719,[61-76],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc_solIQgG2ibNiJrjmN-CnvdQH3i9B59r-V9Vk94NAKRsl_zMhn3GBwExRnFZzGNwN43c3xOdZjhEhOReLlinprdM2o-irQiC5mEEql60DmedE_NN3zHn6kZOBL0fDanoS55-IrqKXCusqIM-ILlSrI-Yj_CDMquHQl6veETFNqA==&uniplatform=NZKPT&language=CHS
基于搭便车引发需求转移和质量感知的双渠道供应链服务与定价研究,查看该刊,2023.12.11,1.山东财经大学管理科学与工程学院;2.悉尼大学工程学院,王玉燕;高俊宏;孙煜林;崔莹,基于搭便车引发需求转移和质量感知的双渠道供应链服务与定价研究 网络首发,中国管理科学 ,,F274,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfxeiz16ZsnrIgtzwCDSz48V17d9J5vRqny4WaQyzsgF6Uv1uRqF6kVxw3nxW304vutHHaVCLQpmac7UNg1mPiuEXlXa_oPRJAlxyU79ZpMt2gFDoi9gcF6190RLcwFu8wfzcKtOrXEi_KG3dgFnpipntcAdD7la7EaR4vv4L4l4Q==&uniplatform=NZKPT&language=CHS
强制性约束下企业信息安全投资与网络保险的最优决策分析1,2021,2019.12.12,1.山东财经大学管理科学与工程学院;2.中国金融认证中心;3.重庆工商大学管理科学与工程学院,董坤祥;谢宗晓;甄杰,强制性约束下企业信息安全投资与网络保险的最优决策分析,中国管理科学 ,No.06,F842.6,[70-81],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kehqG_3z9IiBYPxL4fGE8bU_iDyFSv0Hw1Ywg4wiDktZq18E4-o1q_ZAoOLXzBA-qQY7kjDvSmPIU6_qcnXNTPqLfpOTjH1NQJiubkPbbdElJbkiOd4oww1lxs38dE5txET-dfZA0BUWPxXd6m3Z7CjIajnKkfvV5duIrFPsobtBQ==&uniplatform=NZKPT&language=CHS
黄河故事的IP化打造和产业化开发策略研究,2021,2021.09.15,山东财经大学文学与新闻传播学院,郑燕,黄河故事的IP化打造和产业化开发策略研究,东岳论丛 ,No.09,G124,[77-84],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdd4FHWKA1b2yw-_7Vb-Rz8Dc3g6YIymOAGoskOwWSSdBikPvszuu3RW9S17GjkfCrNHnGl0acUqpUGtyP1yoEvGRc47ygAwlWiAmyJw_c0KIha715WiqFQsseAjhR0O1jkv9hFqEquns73Ak3AaJB6uGFXxnOPbN-YdfjSaZ44cg==&uniplatform=NZKPT&language=CHS
中华优秀传统文化创造性转化和创新性发展路径探析,2025,2025.06.17,徐州工程学院发展规划处,季晶晶,中华优秀传统文化创造性转化和创新性发展路径研究,江苏建筑职业技术学院学报 ,No.02,G127,[98-102],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdd4FHWKA1b2yw-_7Vb-Rz8Dc3g6YIymODcAkG36Ow7sPUgKd6ebfYBScn1-GCy08RdG6FV1z036Hjf50w-weDe8CSHifnIEOxx_8HdC-aEY7lA_GFmaNv4kV18yLWV2KtGyktF5L6Svbpoc2NZRktrznViSjEbSFpf24leoOmyWg==&uniplatform=NZKPT&language=CHS
碳政策选择对网络外部性下低碳电商供应链的决策影响研究,2025,2024.03.17,山东财经大学管理科学与工程学院,王玉燕;丁露萍,碳政策选择对网络外部性下低碳电商供应链的决策影响研究,管理工程学报 ,No.02,F274;F713.36;X196,[105-117],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kftZoaGNW7D4qFd3RhcPRFSISIWcJvUL-yzeC4Oj9on36UX0_KUBhHg51mqBxM-li_w7sw_kF_ubEHM7fdu3aSC80MsvDzCoYbTqn7qkRpbDgJ2OPo4OyzwyM82Mxa2B4OX6hFt2ImgfN_0xg2DpflXQr9NbWao78cv3dycRhXHHw==&uniplatform=NZKPT&language=CHS
年报可读性与内部人交易研究——基于文本挖掘视角,2022,2022.08.16,南京信息工程大学,朱光;王纯熙,年报可读性与内部人交易研究——基于文本挖掘视角,金融监管研究 ,No.04,F832.51;F275,[100-114],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcF1vgvPRk05ALg4G7H9m0GsQja8m0UOYjDPrTj1fKUPYwLKQONEpFxtDZwlajsAbhkqLkEA01-JIwrvpAYwOy6M7m5_r-ytgqxEOuqYhFYHYnWMuZgCA2DLwS9oux14Dq01Fqi0oBosp_M922kFOcEoLiasjvzORR5ku2YsQ4pMg==&uniplatform=NZKPT&language=CHS
VR眼镜的视觉交互分析,2020,2020.06.02,南京信息工程大学马克思主义学院,邵艳梅,VR眼镜的视觉交互分析,自然辩证法研究 ,No.05,TP391.9;TS959.6,[118-122],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdaIAw3Pje6z5hdSBS_ZSc0rad2aGSX1oaoseXEtz6Uh25kbvvwYcolqsjh-ccK2e7dT-8q-BFahOeOhHAnudXz0Y5L_4HIpI6k8SYQr0llKg1haDyk8jbr-m01Q03vNY8HBXxO7cNNJXuZslh5LcOONZSzTpWGuRdYy5pH4JrlFw==&uniplatform=NZKPT&language=CHS
“5W”传播模式下科技期刊传播力评价现状及模型构建研究,2023,2023.05.22,1.武汉大学信息管理学院;2.武汉大学科教管理与评价中心,刘叶萍;付文绮;丁靖佳;黄颖,5W传播模式下科技期刊传播力评价现状及模型构建研究,中国科技期刊研究 ,No.04,G237.5,[510-518],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdJx4nID-WKR9kqAP7koWPjrfE_dgS19RjHpUQE0w1s5SW0dExuREJ7hL4ZtoYGw8WX8ADNcOXqlKodMVJ76ql5zCoJBZ2Gd5u21wlNSmO1oMV-soPHIkamp7WY1qeJZ-nJvGYRN-H4mEiyXRVkIhisEFG8s-wFzZcGB0IEVcC3jA==&uniplatform=NZKPT&language=CHS
现代知性诗人精神世界的新探索,2021,2021.04.01,山东财经大学文学与新闻传播学院,孙丽君,现代知性诗人精神世界的新探索——《生命的思与诗——冯至的人生与创作》评析,山东社会科学 ,No.03,I207.25,[193],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ked-PchX0ucaEZKIetC602Q-XmFmQ6F0UsTp3cDWHcXWGGIqNbV2pN32oQaGLeqh-Fn_AElziUarvxL-I2lCY0aCh9lLwtgmGE_N5wzfqp4l_ZMIRWb7ZHcWwDni5tc00cGaUH95X0RiXhYWfrS0Is93mubkkLRpWJaeNvJHVmChw==&uniplatform=NZKPT&language=CHS
文化产业背景下大众文化产品价值观建构流程及其引导策略,2021,2021.03.30,山东财经大学文学与新闻传播学院,孙丽君,文化产业背景下大众文化产品价值观建构流程及其引导策略,山东社会科学 ,No.02,G124,[60-65],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdQNLhXe55xQ3tC0noYTrvlcY2EoPsRJomnI9OQf0w6FzLphMvAXTN1ZkmseTsrBAWAGBpIHCjRYK4tkiVwY6USUBbA8ofAYAUMvII4J0JlbWUVdu8Zd71VSkNQag-PI21nm8-ntM3G7B0YrECK1gibWNozaZfmacEE7VjkckcF8w==&uniplatform=NZKPT&language=CHS
可燃冰开发中海洋生态环境保护政策制定研究——以交易成本理论为分析视角,2020,2020.02.02,1.三峡大学法学与公共管理学院;2.上海海洋大学公共管理研究所,傅广宛;王倩;杨杨,可燃冰开发中的海洋生态环境保护政策制定研究——以交易成本理论为分析视角,湘潭大学学报(哲学社会科学版) ,No.01,X321;P744.4,[17-22],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfko5bsom40tshOo-Cf-D2s2VX_12eIhfBBLvgYVkiuFLYHmjKGqArjzcPZnYbAIf7-uxV1eYTlAACaJovmXFWnpg7BOPuqwSJcf7o5YM3pRzPkzJmqwvydXH5pIIMs9MGrTK8TJfc9A-bzG9pUQpY1layvwb22ruycXxNQbljpmQ==&uniplatform=NZKPT&language=CHS
学术履历对教育学者实证研究产出的影响研究,2020,2020.09.30,华东师范大学教育管理学系,马银琦;姚昊,学术履历对教育学者实证研究产出的影响研究——基于2015—2019年核心作者的分析,中国高教研究 ,No.09,G40;G353.1,[73-79],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kffWLi2alhXEJU6xViDzWv_gykUQYUTQKUkUA1nbUKltrYvaZHUXz5cxjFkbEu0y9Bm2ct_fCYzZTFeiwXchOL94l2XGkDrFVjbzImyG1h4W97pxNfWq7kpZKvv3B0vEyc132VkAXqUSSp7rUTWhoJOVI7mRfk2q_FhBkLgF4Zl1Q==&uniplatform=NZKPT&language=CHS
“全球公共健康伦理”：建构危机时刻的全球伦理共识,2020,2020.06.15,1.清华大学社会科学学院社会学系;2.清华大学高校德育研究中心、清华大学公共健康研究中心,张肖阳;肖巍,“全球公共健康伦理”:建构危机时刻的全球伦理共识,探索与争鸣 ,No.04,R-052,[78-85+288],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcmgAET1W5B0anScOz4AUmsmrwQDRee41A14UqPVWDzpM4E-P0Vs5vZYmeI1Ujn6DzlWenpQlTpybrKRtlw53KtcsfH4BZgUzgQOIkgaU8I4pOUlf9hEcd8DjafUD0QphuSuXtNHYv0xKSWqarFY1rdXOJXzolP1NbMGs-eioLePQ==&uniplatform=NZKPT&language=CHS
比较视野下中东欧转型国家住房政策移植失灵的表现、成因和启示,2020,2019.08.29,北京航空航天大学公共管理学院,聂晨,比较视野下中东欧转型国家住房政策移植失灵的表现、成因和启示,东北师大学报(哲学社会科学版) ,No.05,F299.23;F299.51,[80-90],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kesipbbOCpRkq26b_jKqlix5d3tUb4UEfuAOlY8cNOtTeA03Qeboz46JGxHxz1Bt5wYPrrFPJ8zeVlNb5ejK4SVNorsNudXI7CQtmKRoYg41zS1gGl2ei5TiZH3gq5gKuYrJRuApiwN_o8ugu3HJ7G6r3DefqV7F91ga4YJHTvyjg==&uniplatform=NZKPT&language=CHS
多元共生的媒介场域:剧本杀的跨媒介融合研究,2025,2025.03.18,1.中央财经大学文化与传媒学院;2.北京大学艺术学院,张立娜;陈旭光,多元共生的媒介场域:剧本杀的跨媒介融合研究,现代传播(中国传媒大学学报) ,No.01,G206,[91-99],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd85xjcL5FeUWvSI8nH8dGJhiFveN_fDIqiUb7YeA0u-y1fCu5z9pgV4SX0FP4AUwLtiB_SheJmqxnFRp5J5amjt0C66585Sh5JuNxQOOnx-LTeuQJxWFHGfAt3GTIt6Kxk98YQJuPvEk03ISSv2PS_ulZ1D5a39UQ1Ecgt5NVwMQ==&uniplatform=NZKPT&language=CHS
高质量教育科学研究成果的特征、趋势与反思,2022,2022.08.31,1.华东师范大学教育管理学系;2.华东师范大学教育学部;3.华东师范大学人文与社会科学研究院,马银琦;毋磊;朱军文,高质量教育科学研究成果的特征、趋势与反思——基于全国教育科学研究优秀成果奖的实证研究,中国高教研究 ,No.08,G521,[76-83],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke5jN1iATGghWXMcS1ATocH-bc4_dXcShJHbnHgh40IWhfQmijcwcZiWbk9PkiHPGIDX4w1g8CwaqewtBwUcLSPN-q1f1WogA4x53dr14pcHMZTcpwBiU-lsEiDlloYkv6ooO-z_OOfKrcdieCk_N_P0HlaSqJKH6Lv90d2_BSe-A==&uniplatform=NZKPT&language=CHS
汇率冲击、银行外币敞口与企业投资,2024,2025.06.10,中央财经大学金融学院,王雅琦;贾思源,汇率冲击、银行外币敞口与企业投资,金融研究 ,No.12,F832.6;F275;F832.51,[78-96],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfaOOZb9rACkXY6vSC44GvCMEHTb7zSjFx1rzj02twmZcrnx_mSJeHkBJTredsq_BQM_k0vV8NB4A4Q5qc8LVWk3qDpI4Gi6guh1EtWegt6fS7D4AK3A7Gkjh9pEEiYvrkECUP5063oC6DASivD1Zdm1tBp9wKx1Ox-rzmDcpgInQ==&uniplatform=NZKPT&language=CHS
诺贝尔经济科学奖与决策理论及其对数据驱动智能决策的研究启示,2025,2025.04.27,1.四川大学商学院;2.海南大学国际商学院;3.电子科技大学公共管理学院;4.湘江实验室;5.湖南工商大学数字媒体工程与人文学院,董玉成;范莎;陈霞;寇纲,诺贝尔经济科学奖与决策理论及其对数据驱动智能决策的研究启示,管理科学学报 ,No.04,F091.3;C934,[174-190],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keUoZo_XUQKrnGm4E_LA-LTEobRhi1IAWHdC6AbAA407-IdLIDK5WPe8FJSpuog9qPfLS0fJI--J3cIQrX5qWSj_HZy39jEZUSolyBXGg_whvOzF36_-qxk98tuI-C0dlTbLtvTyHcrxVycLdOHoQ46GURZagP1w17NfBisef5Tjw==&uniplatform=NZKPT&language=CHS
双源采购还是单源采购：责任供应链下的战略采购模式分析,2021,2021.09.15,1.华中科技大学管理学院;2.武汉大学经济与管理学院,谢霞;戴宾;曹乐艺,双源采购还是单源采购:责任供应链下的战略采购模式分析,管理工程学报 ,No.06,F274,[194-207],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keEkIfvUj7-cexo2b-pj_3i9R4XafrteN-mXyv-xfQlBP75xz9iXkRn1iCS9j9z5MGklon41Oj6s_s4jIc6cHR3AXYNRgT7IrT09xk9HpZv2o2ke7Dar8gCSO6aqZmOq9OJpFZl_394USvcS4QqR_A0K-NhHPsWMz9fspWEs07u3g==&uniplatform=NZKPT&language=CHS
信息素养对网络谣言验证的组合效应和动态影响：基于三期混合研究的实证分析,查看该刊,2024.12.30,1.武汉大学信息管理学院;2.武汉纺织大学管理学院,沈校亮;吴忧;孙永强,信息素养对网络谣言验证的组合效应和动态影响：基于三期混合研究的实证分析 网络首发,图书情报知识 ,,C912.63;G252,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdG3bA4LxkdC7ByK3MIx0Vl2HJnqa2Ppd0csg-RsB8EA69ej306-jhwO0bFgSzszQxcq8xJMn_X1jWqd4HaLTGhNnpwRAETmDwzQho3axPm-DkPV07bCu8sxG4Ml62GDPjC24SvTkc28d55OvwFES20DId7SlOSshTxHSix89S7iw==&uniplatform=NZKPT&language=CHS
